Rpl10;Rpl10l
Rpl10a
Rpl13
Rpl13a
Rpl14;Rpl14-ps1
Rpl15;Gm10020
Rpl17
Rpl18
Rpl18a
Rpl19
Rpl21
Rpl22
Rpl22l1
Rpl23
Rpl23a
Rpl24;Gm17430
Rpl26
Rpl27
Rpl27a
Rpl28
Rpl3
Rpl30
Rpl31
Rpl32
Rpl34
Rpl35;Gm10269
Rpl35a
Rpl36;Gm8973
Rpl36a
Rpl37
Rpl37a
Rpl38
Rpl39
Rpl4
Rpl5
Rpl6;Gm5428
Rpl7
Rpl8
Rpl9
Rplp0
Rplp1;Gm10073
Rplp2
Rps10
Rps11
Rps12
Rps13
rps14;Rps14
Rps15
Rps15a
Rps16
Rps17
Rps18;Gm10260
Rps19
Rps2;Gm5786;Gm18025;Gm6576;Gm8225
Rps20
Rps23
Rps24
Rps25
Rps26
Rps27a
Rps27l
Rps28;Gm10263
Rps29
Rps3
Rps3a1;Rps3a
Rps4x
Rps5
Rps6
Rps6ka1
Rps6ka3
Rps6ka4
Rps6ka5
Rps6kb1
Rps6kc1
Rps7;Gm9493
Rps8
Rps9
Rpsa